,dengue_cases,datetime
0,74,2012-01-01
1,64,2012-01-08
2,60,2012-01-15
3,50,2012-01-22
4,84,2012-01-29
5,87,2012-02-05
6,65,2012-02-12
7,50,2012-02-19
8,55,2012-02-26
9,45,2012-03-04
10,64,2012-03-11
11,72,2012-03-18
12,48,2012-03-25
13,52,2012-04-01
14,81,2012-04-08
15,77,2012-04-15
16,64,2012-04-22
17,86,2012-04-29
18,96,2012-05-06
19,80,2012-05-13
20,80,2012-05-20
21,81,2012-05-27
22,99,2012-06-03
23,87,2012-06-10
24,128,2012-06-17
25,151,2012-06-24
26,140,2012-07-01
27,131,2012-07-08
28,124,2012-07-15
29,110,2012-07-22
30,94,2012-07-29
31,127,2012-08-05
32,115,2012-08-12
33,92,2012-08-19
34,102,2012-08-26
35,75,2012-09-02
36,73,2012-09-09
37,72,2012-09-16
38,99,2012-09-23
39,103,2012-09-30
40,122,2012-10-07
41,105,2012-10-14
42,84,2012-10-21
43,104,2012-10-28
44,99,2012-11-04
45,87,2012-11-11
46,99,2012-11-18
47,80,2012-11-25
48,78,2012-12-02
49,104,2012-12-09
50,92,2012-12-16
51,111,2012-12-23
52,132,2013-01-06
53,204,2013-01-13
54,219,2013-01-20
55,264,2013-01-27
56,292,2013-02-03
57,322,2013-02-10
58,246,2013-02-17
59,294,2013-02-24
60,247,2013-03-03
61,272,2013-03-10
62,307,2013-03-17
63,305,2013-03-24
64,314,2013-03-31
65,402,2013-04-07
66,491,2013-04-14
67,505,2013-04-21
68,536,2013-04-28
69,547,2013-05-05
70,556,2013-05-12
71,611,2013-05-19
72,637,2013-05-26
73,742,2013-06-02
74,813,2013-06-09
75,805,2013-06-16
76,838,2013-06-23
77,802,2013-06-30
78,676,2013-07-07
79,540,2013-07-14
80,389,2013-07-21
81,305,2013-07-28
82,288,2013-08-04
83,255,2013-08-11
84,378,2013-08-18
85,338,2013-08-25
86,382,2013-09-01
87,449,2013-09-08
88,337,2013-09-15
89,370,2013-09-22
90,402,2013-09-29
91,439,2013-10-06
92,435,2013-10-13
93,371,2013-10-20
94,495,2013-10-27
95,457,2013-11-03
96,401,2013-11-10
97,442,2013-11-17
98,365,2013-11-24
99,372,2013-12-01
100,347,2013-12-08
101,380,2013-12-15
102,371,2013-12-22
103,414,2013-12-29
104,436,2014-01-05
105,479,2014-01-12
106,401,2014-01-19
107,336,2014-01-26
108,234,2014-02-02
109,273,2014-02-09
110,369,2014-02-16
111,193,2014-02-23
112,186,2014-03-02
113,209,2014-03-09
114,224,2014-03-16
115,210,2014-03-23
116,225,2014-03-30
117,240,2014-04-06
118,244,2014-04-13
119,235,2014-04-20
120,282,2014-04-27
121,251,2014-05-04
122,261,2014-05-11
123,291,2014-05-18
124,427,2014-05-25
125,456,2014-06-01
126,458,2014-06-08
127,506,2014-06-15
128,550,2014-06-22
129,671,2014-06-29
130,888,2014-07-06
131,818,2014-07-13
132,744,2014-07-20
133,633,2014-07-27
134,484,2014-08-03
135,545,2014-08-10
136,438,2014-08-17
137,418,2014-08-24
138,367,2014-08-31
139,339,2014-09-07
140,362,2014-09-14
141,396,2014-09-21
142,344,2014-09-28
143,339,2014-10-05
144,278,2014-10-12
145,297,2014-10-19
146,213,2014-10-26
147,186,2014-11-02
148,168,2014-11-09
149,158,2014-11-16
150,149,2014-11-23
151,162,2014-11-30
152,212,2014-12-07
153,177,2014-12-14
154,198,2014-12-21
155,188,2014-12-28
156,158,2015-01-04
157,256,2015-01-04
158,228,2015-01-11
159,237,2015-01-18
160,259,2015-01-25
161,212,2015-02-01
162,173,2015-02-08
163,99,2015-02-15
164,172,2015-02-22
165,189,2015-03-01
166,110,2015-03-08
167,91,2015-03-15
168,129,2015-03-22
169,90,2015-03-29
170,107,2015-04-05
171,137,2015-04-12
172,113,2015-04-19
173,120,2015-04-26
174,135,2015-05-03
175,157,2015-05-10
176,109,2015-05-17
177,178,2015-05-24
178,151,2015-05-31
179,192,2015-06-07
180,207,2015-06-14
181,240,2015-06-21
182,242,2015-06-28
183,272,2015-07-05
184,263,2015-07-12
185,293,2015-07-19
186,250,2015-07-26
187,226,2015-08-02
188,221,2015-08-09
189,250,2015-08-16
190,225,2015-08-23
191,246,2015-08-30
192,217,2015-09-06
193,303,2015-09-13
194,214,2015-09-20
195,257,2015-09-27
196,235,2015-10-04
197,235,2015-10-11
198,224,2015-10-18
199,246,2015-10-25
200,266,2015-11-01
201,198,2015-11-08
202,254,2015-11-15
203,285,2015-11-22
204,259,2015-11-29
205,356,2015-12-06
206,333,2015-12-13
207,372,2015-12-20
208,458,2015-12-27
209,549,2016-01-03
210,628,2016-01-10
211,635,2016-01-17
212,629,2016-01-24
213,528,2016-01-31
214,420,2016-02-07
215,592,2016-02-14
216,508,2016-02-21
217,412,2016-02-28
218,396,2016-03-06
219,373,2016-03-13
220,306,2016-03-20
221,376,2016-03-27
222,290,2016-04-03
223,225,2016-04-10
224,231,2016-04-17
225,244,2016-04-24
226,181,2016-05-01
227,217,2016-05-08
228,212,2016-05-15
229,198,2016-05-22
230,219,2016-05-29
231,159,2016-06-05
232,192,2016-06-12
233,215,2016-06-19
234,234,2016-06-26
235,246,2016-07-03
236,223,2016-07-10
237,266,2016-07-17
238,221,2016-07-24
239,211,2016-07-31
240,197,2016-08-07
241,221,2016-08-14
242,274,2016-08-21
243,310,2016-08-28
244,242,2016-09-04
245,174,2016-09-11
246,173,2016-09-18
247,138,2016-09-25
248,125,2016-10-02
249,94,2016-10-09
250,108,2016-10-16
251,84,2016-10-23
252,85,2016-10-30
253,84,2016-11-06
254,72,2016-11-13
255,74,2016-11-20
256,86,2016-11-27
257,59,2016-12-04
258,81,2016-12-11
259,72,2016-12-18
260,64,2016-12-25
261,70,2017-01-01
262,90,2017-01-08
263,74,2017-01-15
264,66,2017-01-22
265,62,2017-01-29
266,77,2017-02-05
267,51,2017-02-12
268,54,2017-02-19
269,41,2017-02-26
270,32,2017-03-05
271,34,2017-03-12
272,32,2017-03-19
273,49,2017-03-26
274,37,2017-04-02
275,32,2017-04-09
276,51,2017-04-16
277,37,2017-04-23
278,42,2017-04-30
279,48,2017-05-07
280,48,2017-05-14
281,50,2017-05-21
282,66,2017-05-28
283,62,2017-06-04
284,79,2017-06-11
285,73,2017-06-18
286,75,2017-06-25
287,63,2017-07-02
288,53,2017-07-09
289,51,2017-07-16
290,66,2017-07-23
291,60,2017-07-30
292,56,2017-08-06
293,52,2017-08-13
294,51,2017-08-20
295,33,2017-08-27
296,40,2017-09-03
297,53,2017-09-10
298,58,2017-09-17
299,39,2017-09-24
300,51,2017-10-01
301,55,2017-10-08
302,62,2017-10-15
303,77,2017-10-22
304,62,2017-10-29
305,44,2017-11-05
306,50,2017-11-12
307,24,2017-11-19
308,37,2017-11-26
309,33,2017-12-03
310,40,2017-12-10
311,51,2017-12-17
312,66,2017-12-24
313,83,2018-01-07
314,68,2018-01-14
315,54,2018-01-21
316,45,2018-01-28
317,48,2018-02-04
318,50,2018-02-11
319,28,2018-02-18
320,38,2018-02-25
321,51,2018-03-04
322,37,2018-03-11
323,37,2018-03-18
324,36,2018-03-25
325,24,2018-04-01
326,38,2018-04-08
327,38,2018-04-15
328,56,2018-04-22
329,55,2018-04-29
330,74,2018-05-06
331,62,2018-05-13
332,63,2018-05-20
333,64,2018-05-27
334,52,2018-06-03
335,75,2018-06-10
336,55,2018-06-17
337,59,2018-06-24
338,75,2018-07-01
339,56,2018-07-08
340,44,2018-07-15
341,41,2018-07-22
342,56,2018-07-29
343,50,2018-08-05
344,59,2018-08-12
345,42,2018-08-19
346,66,2018-08-26
347,75,2018-09-02
348,75,2018-09-09
349,49,2018-09-16
350,63,2018-09-23
351,40,2018-09-30
352,51,2018-10-07
353,51,2018-10-14
354,60,2018-10-21
355,78,2018-10-28
356,75,2018-11-04
357,71,2018-11-11
358,78,2018-11-18
359,97,2018-11-25
360,109,2018-12-02
361,114,2018-12-09
362,107,2018-12-16
363,127,2018-12-23
364,160,2018-12-30
365,205,2019-01-06
366,245,2019-01-13
367,207,2019-01-20
368,221,2019-01-27
369,179,2019-02-03
370,135,2019-02-10
371,232,2019-02-17
372,181,2019-02-24
373,156,2019-03-03
374,133,2019-03-10
375,109,2019-03-17
376,96,2019-03-24
377,99,2019-03-31
378,108,2019-04-07
379,125,2019-04-14
380,134,2019-04-21
381,156,2019-04-28
382,192,2019-05-05
383,287,2019-05-12
384,307,2019-05-19
385,376,2019-05-26
386,400,2019-06-02
387,396,2019-06-09
388,464,2019-06-16
389,430,2019-06-23
390,492,2019-06-30
391,591,2019-07-07
392,661,2019-07-14
393,644,2019-07-21
394,601,2019-07-28
395,597,2019-08-04
396,521,2019-08-11
397,522,2019-08-18
398,474,2019-08-25
399,412,2019-09-01
400,326,2019-09-08
401,314,2019-09-15
402,299,2019-09-22
403,258,2019-09-29
404,243,2019-10-06
405,226,2019-10-13
406,239,2019-10-20
407,241,2019-10-27
408,306,2019-11-03
409,321,2019-11-10
410,372,2019-11-17
411,329,2019-11-24
412,295,2019-12-01
413,280,2019-12-08
414,257,2019-12-15
415,226,2019-12-22
416,290,2019-12-29
417,302,2020-01-05
418,342,2020-01-12
419,402,2020-01-19
420,307,2020-01-26
421,370,2020-02-02
422,400,2020-02-09
423,378,2020-02-16
424,380,2020-02-23
425,373,2020-03-01
426,375,2020-03-08
427,389,2020-03-15
428,367,2020-03-22
429,377,2020-03-29
430,315,2020-04-05
431,341,2020-04-12
432,360,2020-04-19
433,399,2020-04-26
434,390,2020-05-03
435,502,2020-05-10
436,524,2020-05-17
437,618,2020-05-24
438,731,2020-05-31
439,868,2020-06-07
440,1151,2020-06-14
441,1369,2020-06-21
442,1460,2020-06-28
443,1444,2020-07-05
444,1665,2020-07-12
445,1725,2020-07-19
446,1791,2020-07-26
447,1376,2020-08-02
448,1667,2020-08-09
449,1336,2020-08-16
450,1285,2020-08-23
451,1153,2020-08-30
452,937,2020-09-06
453,725,2020-09-13
454,671,2020-09-20
455,590,2020-09-27
456,605,2020-10-04
457,528,2020-10-11
458,591,2020-10-18
459,563,2020-10-25
460,440,2020-11-01
461,408,2020-11-08
462,354,2020-11-15
463,258,2020-11-22
464,279,2020-11-29
465,228,2020-12-06
466,227,2020-12-13
467,236,2020-12-20
468,196,2020-12-27
469,193,2021-01-03
470,194,2021-01-03
471,165,2021-01-10
472,151,2021-01-17
473,135,2021-01-24
474,141,2021-01-31
475,142,2021-02-07
476,148,2021-02-14
477,145,2021-02-21
478,139,2021-02-28
479,145,2021-03-07
480,129,2021-03-14
481,120,2021-03-21
482,113,2021-03-28
483,102,2021-04-04
484,112,2021-04-11
485,128,2021-04-18
486,84,2021-04-25
487,117,2021-05-02
488,92,2021-05-09
489,116,2021-05-16
490,130,2021-05-23
491,118,2021-05-30
492,137,2021-06-06
493,135,2021-06-13
494,126,2021-06-20
495,112,2021-06-27
496,104,2021-07-04
497,75,2021-07-11
498,80,2021-07-18
499,82,2021-07-25
500,70,2021-08-01
501,81,2021-08-08
502,56,2021-08-15
503,53,2021-08-22
504,46,2021-08-29
505,60,2021-09-05
506,74,2021-09-12
507,109,2021-09-19
508,105,2021-09-26
509,104,2021-10-03
510,85,2021-10-10
511,76,2021-10-17
512,75,2021-10-24
513,59,2021-10-31
514,42,2021-11-07
515,56,2021-11-14
516,63,2021-11-21
517,48,2021-11-28
518,64,2021-12-05
519,61,2021-12-12
520,68,2021-12-19
521,79,2021-12-26
522,106,2022-01-02
523,146,2022-01-09
524,178,2022-01-16
525,169,2022-01-23
526,153,2022-01-30
527,168,2022-02-06
528,206,2022-02-13
529,200,2022-02-20
530,263,2022-02-27
531,369,2022-03-06
532,421,2022-03-13
533,441,2022-03-20
534,510,2022-03-27
535,642,2022-04-03
536,733,2022-04-10
537,942,2022-04-17
538,1002,2022-04-24
539,845,2022-05-01
540,1311,2022-05-08
541,1273,2022-05-15
542,1563,2022-05-22
543,1451,2022-05-29
544,1459,2022-06-05
545,1253,2022-06-12
546,1171,2022-06-19
547,1186,2022-06-26
548,1164,2022-07-03
549,918,2022-07-10
550,1035,2022-07-17
551,1092,2022-07-24
552,894,2022-07-31
553,879,2022-08-07
554,679,2022-08-14
555,661,2022-08-21
556,577,2022-08-28
557,569,2022-09-04
558,544,2022-09-11
559,472,2022-09-18
560,426,2022-09-25
561,397,2022-10-02
562,376,2022-10-09
563,373,2022-10-16
564,313,2022-10-23
565,317,2022-10-30
566,294,2022-11-06
567,312,2022-11-13
568,265,2022-11-20
569,242,2022-11-27
570,326,2022-12-04
571,289,2022-12-11
572,270,2022-12-18
573,285,2022-12-25
